asin,url,title,seller,price,rating,reviews,images,image_url,currency,availability,seller_info,bsr,brand,condition,seller_type,discount,category_node,country,include_keywords,exclude_keywords,other
B0F38RC297,https://www.amazon.de/-/en/Display-GeForce-Illuminated-Keyboard-GamePass/dp/B0F38RC297/ref=sr_1_3,Lenovo LOQ Gaming AI Laptop | 15.6 Inch Full HD 144Hz Display | NVIDIA GeForce RTX 5060 | Intel Core i5 | 16GB RAM | 1TB SSD | Win11 | QWERTZ | White Illuminated Keyboard | Grey | 3 Months GamePass,,,3.0,2,"['https://fls-eu.amazon.de/1/batch/1/OP/A1PA6795UKMFR9:258-9156054-7124517:QQ0V8N0A52T3XXAG5ZYP$uedata=s:%2Frd%2Fuedata%3Fstaticb%26id%3DQQ0V8N0A52T3XXAG5ZYP:0', 'https://m.media-amazon.com/images/G/03/EU-Deals-Team/2025/BFW25/HP/SWM/EN_DOHP_SWMStatic_400x39._CB779072116_.png', 'https://m.media-amazon.com/images/I/31isdADwDUL.jpg', 'https://m.media-amazon.com/images/G/03/HomeCustomProduct/360_icon_73x73v2._CB485971279_SS40_FMpng_RI_.png', 'https://m.media-amazon.com/images/I/41HuY96VChL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/514ItpDp+hL._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51GdWHvTc5L._AC_US40_.jpg', 'https://m.media-amazon.com/images/I/51kHSwigDKL._AC_US40_.jpg']",https://fls-eu.amazon.de/1/batch/1/OP/A1PA6795UKMFR9:258-9156054-7124517:QQ0V8N0A52T3XXAG5ZYP$uedata=s:%2Frd%2Fuedata%3Fstaticb%26id%3DQQ0V8N0A52T3XXAG5ZYP:0,€,This item cannot be dispatched to your selected delivery location. Please choose a different delivery location.,,,Visit the Lenovo Store,,,True,,DE,[],[],
B0DWZ28XL9,https://www.amazon.de/-/en/Display-GeForce-Windows-Keyboard-A9WHG-081/dp/B0DWZ28XL9/ref=sr_1_5,"MSI Vector A18 HX Gaming Laptop, 18"" QHD+ 240Hz Display, AMD Ryzen 9 9955HX, NVIDIA GeForce RTX 5070 Ti, 32GB DDR5, 1TB SSD, Windows 11 Home, QWERTZ Keyboard, A9WHG-081",,119.0,4.1,417,[],,€,This item cannot be dispatched to your selected delivery location. Please choose a different delivery location.,,,Visit the MSI Store,,,True,,DE,[],[],
